congruent,base_sent
Его адвокаты уже готовят документы .,Адвокаты готовят документы
Местные службы безопасности ликвидировали преступника .,Службы ликвидировали преступника
В пятницу суд изберет ему меру пресечения .,Суд изберет меру
"Кроме того , военные захватили несколько телеканалов .",Военные захватили телеканалов
Затем корреспондента оттеснил от спикера его охранник .,Охранник оттеснил корреспондента
Атомная энергетика тоже преимущественно даёт электроэнергию .,Энергетика даёт электроэнергию
Позже представители московских армейцев эту информацию опровергли .,Представители опровергли информацию
Пресс-служба компании приносит пользователям извинения .,Пресс-служба приносит извинения
Поддержку рублю оказывает старт налогового периода апреля .,Старт оказывает поддержку
Ели символизируют лесное богатство района .,Ели символизируют богатство
В ходе рейдов солдаты обыскали множество домов .,Солдаты обыскали множество
Игра сочетает жанры стратегии и боевика .,Игра сочетает жанры
Необычных головастиков нашел владелец пруда .,Владелец нашел головастиков
Курганская городская дума поддержала инициативу .,Дума поддержала инициативу
Восемь палестинцев и семеро солдат получили ранения .,Палестинцев получили ранения
Эксперты нашли там следы его пота .,Эксперты нашли следы
Инспекторы строительного надзора оценивают состояние пострадавшего здания .,Инспекторы оценивают состояние
Ранения получили два сотрудника французской неправительственной организации .,Сотрудника получили ранения
Приговор обжаловали обе стороны конфликта .,Обжаловали стороны
Медики позже диагностировали у мужчины несколько переломов .,Медики диагностировали переломов
Тень скульптур на стене создаёт дополнительный эффект .,Тень создаёт эффект
Машины по очереди проходят таможенные процедуры .,Процедуры проходят
Диск вызвал положительную реакцию критиков .,Диск вызвал реакцию
Гостей ждут семейные конкурсы и игры .,Конкурсы ждут гостей
Цены на золото установили новый исторический рекорд .,Цены установили рекорд
"Говорят , там уже люди погибают .",Люди погибают
На вальс гостей пригласит коллектив бального танца .,Пригласит коллектив
Рекорд составил чуть больше трех минут .,Рекорд составил минут
Полиция арестовала покупателей и отца - продавца .,Полиция арестовала покупателей
Боевики разрушили десятки христианских церквей .,Боевики разрушили десятки
Новая система предполагает несущественную нагрузку на бюджет .,Система предполагает нагрузку
Оглашение постановления суда заняло пять часов .,Оглашение заняло часов
Сумма залога составит миллион рублей .,Сумма составит рублей
Преследование бандитов продолжают армейский спецназ и пограничники .,Преследование продолжают спецназ
Зато железнодорожники с себя ответственность сняли .,Железнодорожники сняли ответственность
Лидеры коалиции называют решения избиркомов незаконными .,Лидеры называют решения
Позже исламисты опровергли гибель полевого командира .,Исламисты опровергли гибель
Российские дипломаты предприняли ответные меры .,Дипломаты предприняли меры
Такие данные предоставил оперативный штаб .,Штаб предоставил данные
Его внимание привлек совсем другой звук .,Привлек звук
Отверстия обычно имеют прямоугольную форму .,Отверстия имеют форму
Производитель ориентировал камеру для профессионального использования .,Производитель ориентировал камеру
Цены на проезд вызвали возмущение многих водителей .,Цены вызвали возмущение
Часть из них покинуло город .,Часть покинуло город
Петербуржца задержали сотрудники полиции метрополитена .,Сотрудники задержали петербуржца
"Посетители читали газеты , журналы , книги .",Посетители читали газеты
Часть экипажа получила отрицательный результат из лаборатории .,Часть получила результат
Такое решение принял Верховный суд королевства .,Суд принял решение
Другие операторы вызвали значительно меньше нареканий .,Операторы вызвали нареканий
Фестиваль собирает тысячи гостей каждый год .,Фестиваль собирает гостей
Обе команды продолжат участие в турнире .,Команды продолжат участие
Правительство также поддерживает это предложение .,Правительство поддерживает предложение
Мирный настрой проявляет и другая палестинская группировка .,Группировка проявляет настрой
В отместку обезьяна отнимает палочку .,Обезьяна отнимает палочку
Курсы проводит местный колледж городской инфраструктуры .,Проводит колледж
Позицию верховного лидера разделяет население .,Разделяет население
Зачастую бытовые светильники имеют сменные лампы .,Светильники имеют лампы
А прусский король подарил Янтарную комнату .,Король подарил комнату
Скорость пуль достигала тысячи метров в секунду .,Скорость достигала метров
В результате мужчина получил травмы средней тяжести .,Мужчина получил травмы
Клуб занял лишь одиннадцатое место .,Клуб занял место
Формулировка такого рода имеют несколько недостатков .,Формулировка имеют недостатков
Напряжение в комнате достигает пика .,Напряжение достигает пика
Тонувшая машина в сумерках напоминала рубку теплохода .,Машина напоминала рубку
Врачи констатировали у командира кровоизлияние в мозг .,Врачи констатировали кровоизлияние
Также ограничения затрагивают отдельных чиновников .,Ограничения затрагивают чиновников
Воспитывала будущую артистку только мать .,Воспитывала мать
"Их доходность составляет -0,45 доходности банковского депозита .",Доходность составляет доходности
Порядок на акции обеспечивали около ста полицейских .,Полицейских обеспечивали порядок
Также город пересекает железнодорожная линия .,Линия пересекает
Газообразные отходы горения проходят специальную систему очистки .,Отходы проходят систему
Сначала социологи предложили участникам исследования три задания .,Социологи предложили задания
Отстрел браконьер совершил без соответствующего разрешения .,Браконьер совершил отстрел
После этого эльфы наложили на них заклятие .,Эльфы наложили заклятие
Мальчики и юноши отправлялись пасти лошадей .,Пасти отправлялись
"Свободно ниспадая , плащ укрывал всё тело .",Плащ укрывал тело
Прокуратура проводит проверку по факту случившегося .,Прокуратура проводит проверку
Полицию вызвали жильцы близлежащего дома .,Жильцы вызвали полицию
Точку во всех делах ставит суд .,Суд ставит точку
Предоставлять это оборудование операторам будет государство .,Государство предоставлять оборудование
Из-за этого организация получила несколько предупреждений .,Организация получила предупреждений
В последующем практика опровергла эти представления .,Практика опровергла представления
Война продемонстрировала слабость обороны византийской границы .,Война продемонстрировала слабость
Свое решение перевозчик объяснил неблагоприятной экономической ситуацией .,Перевозчик объяснил решение
Мобильный телефон всем сегодня развязал руки .,Телефон развязал руки
В ближайшие дни эти дела рассмотрит суд .,Суд рассмотрит дела
Торговая точка осуществляла деятельность без регистрации .,Точка осуществляла деятельность
Девушка незамедлительно вызвала скорую помощь и полицию .,Девушка вызвала помощь
Сейчас сыщики уголовного розыска разыскивают преступника .,Сыщики разыскивают преступника
Эксперты назвали такую идею дискриминацией .,Эксперты назвали идею
Позже тело младенца обнаружили вернувшиеся родители .,Родители обнаружили тело
За десять минут пожарные ликвидировали открытое горение .,Пожарные ликвидировали горение
Сотрудники дорожных служб направляют транспорт в объезд .,Сотрудники направляют транспорт
Некоторые адвокатские группы оспаривают эти выводы .,Группы оспаривают выводы
Деликатесом угощали вельмож и простых жителей .,Угощали вельмож
Также специалист призвала россиян ограничить употребление соли .,Специалист призвала россиян
Стороны обсуждают некий совместный документ .,Стороны обсуждают документ
Компания лишилась возможности покупать сырую нефть .,Компания лишилась возможности
Ранее округ занимал гораздо большую территорию .,Округ занимал территорию
Нарушение таких прав также усугубляет бедность .,Нарушение усугубляет бедность
Подросток получил ушибы и ссадины .,Подросток получил ушибы
Крылья символизируют защиту правосудия и мира .,Крылья символизируют защиту
Незапланированная остановка поезда составила восемь минут .,Остановка составила минут
Песня имела небольшой успех в мире .,Песня имела успех
Школьников учили безопасности во Всемирной паутине .,Учили безопасности
Крепостные плотники сделали ткацкие станки .,Плотники сделали станки
Больничные марки выпускало также Псковское земство .,Марки выпускало земство
Военные признали состоявшиеся испытания истребителя успешными .,Военные признали испытания
"Как правило , эти животные избегают человека .",Животные избегают человека
Голубая полоса символизирует пространство воды и неба .,Полоса символизирует пространство
Эта улица окаймляла центральную часть города .,Улица окаймляла часть
Заказы от наркоманов по телефону принимали диспетчеры .,Диспетчеры принимали заказы
Редкие животные и птицы ежедневно пересекают границу .,Животные пересекают границу
"Судя по всему , ответственности подлежат коммунальщики .",Коммунальщики подлежат
Изначально представители власти выдвигали различные версии произошедшего .,Представители выдвигали версии
Посередине комнаты стоит большой письменный стол .,Стол стоит
Ущерб составил около миллиона рублей .,Ущерб составил рублей
От того и приобрело имя село .,Приобрело село
Приговор вызвал волну критики за рубежом .,Приговор вызвал волну
Однако ветер немного подпортит весеннее настроение .,Ветер подпортит настроение
Главного героя спасает польское сопротивление .,Спасает сопротивление
Часть денег организатор группы легализовал .,Организатор легализовал часть
Согласные звуки тоже претерпевают изменения .,Звуки претерпевают изменения
Лидер консерваторов сегодня празднует двойную победу .,Лидер празднует победу
Входную арку будет венчать орден Победы .,Венчать орден
Подоконник придаёт окну законченный вид .,Подоконник придаёт вид
После этой победы израильтяне окончательно остановили контрнаступление .,Израильтяне остановили контрнаступление
Образцовая германская женщина дополняет германского мужчину .,Женщина дополняет мужчину
Обыкновенные кошачьи акулы ведут ночной образ жизни .,Акулы ведут образ
Прибывшие на место врачи констатировали его смерть .,Врачи констатировали смерть
Запись сделал оператор в защитном костюме .,Оператор сделал запись
Полиция эти сведения в целом подтвердила .,Полиция подтвердила сведения
Каждая кампания имеет свою концовку .,Кампания имеет концовку
Любая госпитализация предполагает письменное информирование человека .,Госпитализация предполагает информирование
Идеологически группировка придерживается теологии освобождения .,Группировка придерживается теологии
Ведомство подтвердило наличие незаконной свалки .,Ведомство подтвердило наличие
Дульный тормоз существенно снизил отдачу .,Тормоз снизил отдачу
Клюв также имеет коричневатую окраску .,Клюв имеет окраску
Эксперты прогнозировали дефолт в масштабе страны .,Эксперты прогнозировали дефолт
Полиция проводит проверку всех обстоятельств несчастного случая .,Полиция проводит проверку
Семья имеет польские и украинские корни .,Семья имеет корни
Земляные работы ведут Железнодорожные войска .,Войска ведут
Верхний этаж церкви не имел иконостаса .,Этаж имел иконостаса
Самцы весят около четырех килограммов .,Самцы весят килограммов
В итоге охрана вывела президента на улицу .,Охрана вывела президента
Проект не предусматривал строительства береговые устоев .,Проект предусматривал строительства
В Иркутской области священник сбил дорожный знак .,Священник сбил знак
"В итоге , трое спасателей получили ранение .",Спасателей получили ранение
"Пар вращает турбины , производя электричество .",Пар вращает турбины
Большую роль сыграют презентации программ кандидатов .,Презентации сыграют роль
Мошенники используют и другие виды связи .,Мошенники используют виды
"По последним данным , спасатели ликвидировали пожар .",Спасатели ликвидировали пожар
Здесь сотрудники центра демонтировали аварийную конструкцию .,Сотрудники демонтировали конструкцию
Более поздние отечественные разработки имели ряд недостатков .,Разработки имели ряд
Этот турнир выявит самых сильных спортсменов .,Турнир выявит спортсменов
Продукцию американской компании продают многие розничные сети .,Сети продают продукцию
Журналисты холдинга ведут собственное расследование .,Журналисты ведут расследование
Координировать их работу будет единый центр .,Центр координировать работу
Место происшествия также осмотрели следователи - криминалисты .,Следователи осмотрели место
Своих питомцев артист отдал в хорошие руки .,Артист отдал питомцев
Арбитры имеют дело с разрешением таких ситуаций .,Арбитры имеют дело
Музей ведёт активную выставочную деятельность .,Музей ведёт деятельность
Вырученные средства папа передал на благотворительность .,Папа передал средства
Большое значение приобретала борьба за горные перевалы .,Борьба приобретала значение
После приземления мужчину забрала полиция .,Полиция забрала мужчину
Братья - близнецы полюбили его как сына .,Близнецы полюбили его
Птица использует в качестве укрытия прибрежную растительность .,Птица использует растительность
Ущерб составил около четверти миллиона рублей .,Ущерб составил четверти
Эксперты не нашли внешних признаков насильственной смерти .,Эксперты нашли признаков
Сын с нетерпением ждет поездку .,Сын ждет поездку
Спустя несколько дней врачи поставили ему диагноз .,Врачи поставили диагноз
Сам купол представляет собой двойную раковину .,Купол представляет раковину
Хорошую подготовку имеет также и баскетбольная команда .,Команда имеет подготовку
"По их мнению , мужчина использовал подделку .",Мужчина использовал подделку
Террористы и заложники занимают здание аэропорта .,Террористы занимают здание
Заявления пришли от почти трех тысяч человек .,Человек пришли
Криминалисты на пляже определили насильственный характер смерти .,Криминалисты определили характер
Правозащитные организации считают такую оценку заниженной .,Организации считают оценку
Владельца упавшего здания разыскивает полиция .,Полиция разыскивает владельца
Однако российские военные опровергают своих грузинских коллег .,Военные опровергают коллег
Почти половину голосов набрала правящая Республиканская партия .,Партия набрала половину
Правительство сочло такую практику неэффективной .,Правительство сочло практику
Сейчас полиция разыскивает соучастников ограбления .,Полиция разыскивает соучастников
Местные власти приняли представителя протестующих .,Власти приняли представителя
Причину пожара теперь выясняют специалисты .,Специалисты выясняют причину
Нынешние сложные времена коснулись всех сфер жизни .,Времена коснулись сфер
Исламисты существенно упростили все государственные функции .,Исламисты упростили функции
Постепенно финансовые трудности настигли и другие коллективы .,Коллективы настигли
Полицейские ловят все машины белого цвета .,Полицейские ловят машины
Сотрудники милиции производят досмотр транспорта .,Сотрудники производят досмотр
Спустя некоторое время мужчина также покидает санузел .,Мужчина покидает санузел
Большую площадь занимают особо охраняемые природные территории .,Занимают территории
Девушка с плаката сознательно избегала голливудских тусовок .,Девушка избегала тусовок
Такие существительные имеют чередование ступеней .,Существительные имеют чередование
"Как установлено , бумаги подписывала заведующая отделом .",Заведующая подписывала бумаги
"Конечно , дела не терпят остановки .",Дела терпят остановки
Впоследствии это решение подтвердили литовские суды .,Суды подтвердили решение
Финальные титры показывают дальнейшие события .,Титры показывают события
"Таким образом , парламентарии обсудят оба обращения .",Парламентарии обсудят обращения
Все задания специально подготовят только тюменские авторы .,Авторы подготовят задания
Нарушителей порядка полицейские ловят практически каждый день .,Полицейские ловят нарушителей
Альбом получил множество восторженных отзывов прессы .,Альбом получил множество
Шахматисты провели по девять матчей .,Шахматисты провели матчей
Наши солдаты провели операцию по их задержанию .,Солдаты провели операцию
Оба спутника будут выполнять практически одинаковые измерения .,Спутника выполнять измерения
Динамовцы забили единственный мяч во втором тайме .,Динамовцы забили мяч
Следующие праздничные выходные ожидают россиян в мае .,Выходные ожидают россиян
Государственный литературный музей получил новое название .,Музей получил название
В игре принимает участие несколько команд .,Команд принимает участие
Четверо новобранцев воспользовались правом альтернативной службы .,Новобранцев воспользовались правом
Остальные участники группы благополучно пересекли границу .,Участники пересекли границу
Византийское войско обратило врагов в бегство .,Войско обратило врагов
Хороший шанс зарабатывать на жизнь давала рыбалка .,Рыбалка давала
Террорист получил компенсацию в миллион фунтов стерлингов .,Террорист получил компенсацию
После чего продавцы обнаружили пропажу пары обуви .,Продавцы обнаружили пропажу
Боевые действия закончила участием в Пражской операции .,Закончила участием
Проект предусматривает новое покрытие для прогулочных тропинок .,Проект предусматривает покрытие
"Очевидцы вызвали полицию , сообщив приметы нападавшего .",Очевидцы вызвали полицию
Альбом получил в целом положительные отзывы критиков .,Альбом получил отзывы
Однако горожане неоднозначно оценили такой рекламный ход .,Горожане оценили ход
Аграрии объясняют отставание от графика сильными дождями .,Аграрии объясняют отставание
То есть люди потребляют непосредственно теплоноситель .,Люди потребляют теплоноситель
Редактор кода использует подсветку синтаксиса .,Редактор использует синтаксиса
Новое землетрясение вызвало панику у местных жителей .,Землетрясение вызвало панику
Инвалидность давала право на бесплатное получение лекарств .,Инвалидность давала право
Заставка изображала часы с двигающимися стрелками .,Заставка изображала часы
Первоначально монастырский ансамбль окружала деревянная ограда .,Ограда окружала ансамбль
Большой популярностью пользовались шубы из лисицы .,Шубы пользовались популярностью
Власти сразу же исключили версию теракта .,Власти исключили версию
Запах этого соединения напоминает запах земляники .,Запах напоминает запах
Мужчина получил ожоги и отравление продуктами горения .,Мужчина получил ожоги
График работы сообщила пресс-служба правительства региона .,Пресс-служба сообщила график
Следователи по горячим следам раскрыли преступление .,Следователи раскрыли преступление
Мальчик перебегал дорогу вне пешеходного перехода .,Мальчик перебегал дорогу
Препарат не индуцирует ферменты печени .,Препарат индуцирует ферменты
Сотрудник прокуратуры сразу же достал служебное удостоверение .,Сотрудник достал удостоверение
На одном из рельефов нянька держит младенца .,Нянька держит младенца
Остальные операторы не предоставили более подробных данных .,Операторы предоставили данных
Для каждого из них эксперты описывали запах .,Эксперты описывали запах
Художник сделал шестнадцать рисунков поэтессы .,Художник сделал рисунков
Вину в предъявленном обвинении мужчина признал .,Мужчина признал вину
В результате ранения получили шестеро подростков .,Подростков получили ранения
Изменения затронули порядок экспертизы учебников .,Изменения затронули порядок
Транспортные расходы берет на себя работодатель .,Работодатель берет расходы
Фильм получил разгромные отзывы в прессе .,Фильм получил отзывы
Свои слова чиновники подтверждают цифрами .,Чиновники подтверждают слова
Рост численности населения вызывает расширение региона .,Рост вызывает расширение
В соревновании приняли участие клубы Примеры .,Клубы приняли участие
Профильная пресса положительно оценила игру .,Пресса оценила игру
Американский суд оставил этот иск без удовлетворения .,Суд оставил иск
Подробности издание сообщает на своем сайте .,Издание сообщает подробности
Активисты добиваются отставки первых лиц государства .,Активисты добиваются отставки
Прокуратура провинции Красное море возбудило уголовное дело .,Прокуратура возбудило дело
Необычное зрелище привлекло множество зевак .,Зрелище привлекло множество
Первоначально единица имела значение высшей оценки .,Единица имела значение
Норвежцы уже обжаловали это решение .,Норвежцы обжаловали решение
Следствие по этому делу ведет налоговая милиция .,Милиция ведет следствие
Нарушителей ждут длительные тюремные сроки .,Ждут сроки
Власти не озвучивают конкретные пути решения проблемы .,Власти озвучивают пути
Администрация острова начала поисково - спасательную операцию .,Администрация начала поисково
Свою награду сценаристы также вручают авторам сериалов .,Сценаристы вручают награду
Собрание имело законодательные и контрольные полномочия .,Собрание имело полномочия
Группу грабителей блокировали милиционеры и спецназ .,Милиционеры блокировали группу
Очевидцы опубликовали фото с место падения машины .,Очевидцы опубликовали фото
Сотрудники администрации обследовали строительную площадку .,Сотрудники обследовали площадку
Получили ли израильтяне дополнительные гарантии .,Израильтяне получили гарантии
Археологи обнаружили останки неизвестного монаха .,Археологи обнаружили останки
Награждение производил министр внутренних дел .,Министр производил награждение
В оригинале пришельцы пускали коров на мясо .,Пришельцы пускали коров
Марокканские евреи ведут преимущественно религиозный образ жизни .,Евреи ведут образ
Полученную информацию мужчина продал третьему лицу .,Мужчина продал информацию
Мост соединяет Ленинский и Советский районы .,Мост соединяет районы
"По предварительной информации , мужчину подвело здоровье .",Здоровье подвело мужчину
"Причины , впрочем , не имеют значения .",Причины имеют значения
Символический образ отражает глобальную структуру динамической системы .,Образ отражает структуру
Демонстранты разбили окно автомобиля одной из телекомпаний .,Демонстранты разбили окно
Полиция разыскивает его предполагаемых сообщников .,Полиция разыскивает сообщников
Финансовую помощь гимнастке оказали спонсоры .,Спонсоры оказали помощь
"Угнанный автомобиль , парень продал .",Парень продал автомобиль
Валютный совет не кредитует правительство .,Совет кредитует правительство
"Полиция проводит проверку , опрашивает свидетелей .",Полиция проводит проверку
Глубина букв составляет без малого полтора метра .,Глубина составляет метра
Хозяева турнира - голландцы обыграли американцев .,Голландцы обыграли американцев
Сумма иска составляет миллион фунтов стерлингов .,Сумма составляет фунтов
В финальном этапе приняли участие шестнадцать команд .,Команд приняли участие
В ответ пользователи раскритиковали спортсмена .,Пользователи раскритиковали спортсмена
Такое решение принял Высший областной суд Вены .,Суд принял решение
Впоследствии вуз несколько раз менял название .,Вуз менял название
Террориста поймала прибывшая на остров полиция .,Полиция поймала террориста
Сотрудники управления задержали всех предполагаемых вымогателей .,Сотрудники задержали вымогателей
Местные издания охотно публиковали его работы .,Издания публиковали работы
Пропажу обнаружил пришедший в ботанический сад служащий .,Служащий обнаружил пропажу
Предприятие осуществляет полный цикл производства продукции .,Предприятие осуществляет цикл
Расследование обстоятельств его смерти выявляет интересные факты .,Расследование выявляет факты
Медики забрали роженицу и младенца в роддом .,Медики забрали роженицу
"Кроме того , издание подсчитало доходы тренеров .",Издание подсчитало доходы
Ранения получили две женщины и один мужчина .,Женщины получили ранения
Процветающий юг заимствовал термины в процессе торговли .,Юг заимствовал термины
Оба фигуранта уголовного дела называли преследование политическим .,Фигуранта называли преследование
Цензоры получали инструкции непосредственно от генерал-губернатора .,Цензоры получали инструкции
При этом суд учел наличие смягчающих обстоятельств .,Суд учел наличие
Сумма ущерба составила около двух миллионов рублей .,Сумма составила рублей
Американские пехотинцы окружили дом и вызвали подкрепление .,Пехотинцы окружили дом
В августе подписчики раскритиковали журналистку за распущенность .,Подписчики раскритиковали журналистку
Симптомы заболевания напоминают классический вид гриппа .,Симптомы напоминают вид
Реакция на укус бывает трёх типов .,Типов бывает
Круглая форма жемчужины символизирует совершенство .,Форма символизирует совершенство
Всего в соревнованиях принимали участие семь экипажей .,Экипажей принимали участие
"Например , фермы выращивают пшеницу .",Фермы выращивают пшеницу
Позднее эту должность занимал обладатель чина визирь .,Обладатель занимал должность
