congruent,base_sent,sent_corrected
Спортсмены разыграют четыре комплекта наград .,Спортсмены разыграют комплекта,Спортсмены разыграют комплект наград
Спрос на билеты существенно превышает предложение .,Спрос превышает предложение,Спрос превышает предложение
Спрос на билеты существенно превышает предложение .,Спрос превышает предложение,Спрос превышает предложение
Станция обслуживает грузы для предприятий .,Станция обслуживает грузы,Станция обслуживает грузы
Статья получила широкую известность и неоднозначные оценки .,Статья получила известность,Статья получила широкую известность
Столпы имели в разрезе форму креста .,Столпы имели форму,Столпы имели форму креста
Первую помощь ей оказал сторож кладбища .,Сторож оказал помощь,Сторож оказал первую помощь
Пока стороны заключили предварительное соглашение .,Стороны заключили соглашение,Стороны заключили предварительное соглашение
В итоге стороны заключили мировое соглашение .,Стороны заключили соглашение,Стороны заключили мировое соглашение
Результаты переговоров стороны не комментируют .,Стороны комментируют результаты,Стороны комментируют результаты переговоров
В настоящее время потери несут обе стороны .,Стороны несут потери,Стороны несут потери
Стороны также обсудят перспективы торгово-экономических отношений .,Стороны обсудят перспективы,Стороны обсудят перспективы отношений
Стороны обсуждают некий совместный документ .,Стороны обсуждают документ,Стороны обсуждают совместный документ
В минувшую среду все стороны подписали соглашение .,Стороны подписали соглашение,Стороны подписали соглашение
Эти страны официально не поддерживают дипломатических отношений .,Страны поддерживают отношений,Страны поддерживают дипломатические отношения
Строительство боен подразумевало использование наиболее современных технологий .,Строительство подразумевало использование,Строительство подразумевало использование технологий
Строительство нефтехимического комбината ухудшило экологическое состояние местности .,Строительство ухудшило состояние,Строительство ухудшило состояние местности
Однако Верховный суд республики аннулировал результаты голосования .,Суд аннулировал результаты,Суд аннулировал результаты голосования
Такое постановление опубликовал сегодня Конституционный суд .,Суд опубликовал постановление,Суд опубликовал постановление
Все ходатайства защиты суд отклонил .,Суд отклонил ходатайства,Суд отклонил ходатайства защиты
"Таким образом , суд поддержал требование прокуратуры .",Суд поддержал требование,Суд поддержал требование прокуратуры
Однако суд вскоре прекратил дело .,Суд прекратил дело,Суд прекратил дело
Однако суд вскоре прекратил дело .,Суд прекратил дело,Суд прекратил дело
Суд в целом принял доводы защиты .,Суд принял доводы,Суд принял доводы защиты
Такое решение принял Верховный суд королевства .,Суд принял решение,Суд принял решение
Такое решение принял Высший областной суд Вены .,Суд принял решение,Суд принял решение
Такое решение принял Арбитражный суд .,Суд принял решение,Суд принял решение
Решение об освобождении принял суд .,Суд принял решение,Суд принял решение об освобождении
Соответствующее решение принял Смоленский областной суд .,Суд принял решение,Суд принял решение
Соответствующее решение принял Севастопольский апелляционный хозяйственный суд .,Суд принял решение,Суд принял соответствующее решение
Решение об освобождении принял суд .,Суд принял решение,Суд принял решение
Дело рассмотрит Псковский областной суд .,Суд рассмотрит дело,Суд рассмотрит дело
Его дело рассмотрит Промышленный районный суд .,Суд рассмотрит дело,Суд рассмотрит дело
Сейчас их судьбу решает суд .,Суд решает судьбу,Суд решает судьбу
Суд удовлетворил поданные заявления о взыскании средств .,Суд удовлетворил заявления,Суд удовлетворил поданные заявления
Суд в итоге не удовлетворил иск .,Суд удовлетворил иск,Суд удовлетворил иск
Суд в итоге не удовлетворил иск .,Суд удовлетворил иск,Суд удовлетворил иск
Суд удовлетворил требования прокурора полностью .,Суд удовлетворил требования,Суд удовлетворил требования прокурора
Суд частично удовлетворил требования генпрокурора .,Суд удовлетворил требования,Суд удовлетворил требования генпрокурора
А потом шахматная судьба сделала неожиданный пируэт .,Судьба сделала пируэт,Судьба сделала неожиданный пируэт
В настоящее время судьи оглашают материалы дела .,Судьи оглашают материалы,Судьи оглашают материалы дела
Свою награду сценаристы также вручают авторам сериалов .,Сценаристы вручают награду,Сценаристы вручают награду
Сын с нетерпением ждет поездку .,Сын ждет поездку,Сын ждет поездку
Сын с нетерпением ждет поездку .,Сын ждет поездку,Сын ждет поездку
Сейчас сыщики уголовного розыска разыскивают преступника .,Сыщики разыскивают преступника,Сыщики разыскивают преступника
Через некоторое время танки покинули город .,Танки покинули город,Танки покинули город
Через некоторое время танки покинули город .,Танки покинули город,Танки покинули город
Через несколько часов танки покинули палестинскую территорию .,Танки покинули территорию,Танки покинули палестинскую территорию
Его творчество получило высокую оценку критики .,Творчество получило оценку,Творчество получило высокую оценку
Творчество мастера получило заслуженное признание зрителей .,Творчество получило признание,Творчество получило заслуженное признание
Китайское телевидение вело прямую трансляцию запуска .,Телевидение вело трансляцию,Телевидение вело трансляцию
Российские телезрители предпочитают детективные сериалы .,Телезрители предпочитают сериалы,Телезрители предпочитают детективные сериалы
Позже телеканал показал этот фильм целиком .,Телеканал показал фильм,Телеканал показал фильм
Телеканалы в это время собирают огромную аудиторию .,Телеканалы собирают аудиторию,Телеканалы собирают огромную аудиторию
Телеканалы в это время собирают огромную аудиторию .,Телеканалы собирают аудиторию,Телеканалы собирают огромную аудиторию
"По последней информации , террорист отпустил женщину .",Террорист отпустил женщину,Террорист отпустил женщину
"По последней информации , террорист отпустил женщину .",Террорист отпустил женщину,Террорист отпустил женщину
Террористы и заложники занимают здание аэропорта .,Террористы занимают здание,Террористы занимают здание аэропорта
Террористы захватили две гостиницы и еврейский центр .,Террористы захватили гостиницы,Террористы захватили гостиницы
В воскресенье террористы вновь захватили населенный пункт .,Террористы захватили пункт,Террористы захватили населенный пункт
С них техника вывозит снег .,Техника вывозит снег,Техника вывозит снег
В Бостоне возбуждённая толпа разгромила особняк вице-губернатора .,Толпа разгромила особняк,Толпа разгромила особняк губернатора
Все обвиненные в махинациях топ-менеджеры покинули компанию .,Топ-менеджеры покинули компанию,Топ-менеджеры покинули компанию
Все обвиненные в махинациях топ-менеджеры покинули компанию .,Топ-менеджеры покинули компанию,Топ-менеджеры покинули компанию
Деньги получили топ-менеджеры обеих фирм .,Топ-менеджеры получили деньги,Топ-менеджеры получили деньги
Настроение футболистов подхватил и главный тренер .,Тренер подхватил настроение,Тренер подхватил настроение футболистов
Троллейбус возобновил движение по маршруту .,Троллейбус возобновил движение,Троллейбус возобновил движение
На следующий день город захватили турки .,Турки захватили город,Турки захватили город
Этот турнир выявит самых сильных спортсменов .,Турнир выявит спортсменов,Турнир выявит сильнейших спортсменов
Этот турнир выявит самых сильных спортсменов .,Турнир выявит спортсменов,Турнир выявит сильнейших спортсменов
Убийцы дают показания в милиции .,Убийцы дают показания,Убийцы дают показания
После этого управляющий вызвал полицию .,Управляющий вызвал полицию,Управляющий вызвал полицию
Остальные участники группы благополучно пересекли границу .,Участники пересекли границу,Участники пересекли границу
Учитель сопровождает ученика в его образовательном движении .,Учитель сопровождает ученика,Учитель сопровождает ученика
Некоторые учебники для школ написали местные учителя .,Учителя написали учебники,Учителя написали учебники
Фермер ожидает первый богатый урожай .,Фермер ожидает урожай,Фермер ожидает богатый урожай
"Например , фермы выращивают пшеницу .",Фермы выращивают пшеницу,Фермы выращивают пшеницу
"Например , фермы выращивают пшеницу .",Фермы выращивают пшеницу,Фермы выращивают пшеницу
На суде фигуранты дела свою вину признали .,Фигуранты признали вину,Фигуранты признали вину
Фильм получил крайне негативные отзывы .,Фильм получил отзывы,Фильм получил негативные отзывы
Фильм получил разгромные отзывы в прессе .,Фильм получил отзывы,Фильм получил негативные отзывы
Фильм получил преимущественно негативные отзывы критиков .,Фильм получил отзывы,Фильм получил негативные отзывы
Фильм получил крайне положительные отзывы критиков .,Фильм получил отзывы,Фильм получил положительные отзывы
Фильм получил смешанные отрицательные отзывы от критиков .,Фильм получил отзывы,Фильм получил отрицательные отзывы
Фильм получил крайне негативные отзывы .,Фильм получил отзывы,Фильм получил негативные отзывы
Футболист за свое поведение получил красную карточку .,Футболист получил карточку,Футболист получил красную карточку
Футболист за свое поведение получил красную карточку .,Футболист получил карточку,Футболист получил красную карточку
Затем хакеры сменили систему защиты .,Хакеры сменили систему,Хакеры сменили систему защиты
Тогда американские хоккеисты заработали серебряную медаль .,Хоккеисты заработали медаль,Хоккеисты заработали сребряную медаль
Молодой художник точно разрабатывает психологический сюжет .,Художник разрабатывает сюжет,Художник разрабатывает сюжет
Цветки большинства сортов обладают сильным ароматом .,Цветки обладают ароматом,Цветки обладают сильным ароматом
Цены на проезд вызвали возмущение многих водителей .,Цены вызвали возмущение,Цены вызвали возмущение водителей
Мировые цены на нефть показывают положительную динамику .,Цены показывают динамику,Цены показывают положительную динамику
Цирк имеет собственную гостиницу для гастролирующих артистов .,Цирк имеет гостиницу,Цирк имеет собственную гостиницу
Человек ощущает постоянную потребность в еде .,Человек ощущает потребность,Человек ощущает потребность в еде
В этих происшествиях пять человек получили травмы .,Человек получили травмы,Человек получил травмы
В результате столкновения несколько человек получили травмы .,Человек получили травмы,Человек получил травмы
В этих происшествиях пять человек получили травмы .,Человек получили травмы,Человек получил травмы
Четыре человека получили незначительные повреждения .,Человека получили повреждения,Человек получил незначительные повреждения
В результате аварии три человека получили травмы .,Человека получили травмы,Человек получил травмы
Так человечество объявляет войну новой империи .,Человечество объявляет войну,Человечество объявляет войну
Также шведы потерпели одно поражение .,Шведы потерпели поражение,Шведы потерпели поражение
После этого школьник выбросил нож .,Школьник выбросил нож,Школьник выбросил нож
После этого школьник выбросил нож .,Школьник выбросил нож,Школьник выбросил нож
После этого школьница частично признала вину .,Школьница признала вину,Школьница признала вину
Большой популярностью пользовались шубы из лисицы .,Шубы пользовались популярностью,Шубы пользовались большой популярностью
Именно в этот момент нарушителей заметили экологи .,Экологи заметили нарушителей,Экологи заметили нарушителей
Положительные прогнозы делают и экономисты .,Экономисты делают прогнозы,Экономисты делают положительные прогнозы
Точную причину смерти установит судебно-медицинская экспертиза .,Экспертиза установит причину,Экспертиза установит причину смерти
Причину возникновения пожара выясняют эксперты .,Эксперты выясняют причину,Эксперты выясняют причину пожара
Эксперты нашли там следы его пота .,Эксперты нашли следы,Эксперты нашли следы пота
Эксперты обнаружили на теле три огнестрельных ранения .,Эксперты обнаружили ранения,Эксперты обнаружили огнестрельные ранения
Осмотрев животное эксперты сделали несколько выводов .,Эксперты сделали выводов,Эксперты сделали вывод
В ответ японцы резко активизировали колонизацию острова .,Японцы активизировали колонизацию,Японцы активизировали колонизацию острова
Ярусы вертепа имели разное предназначение .,Ярусы имели предназначение,Ярусы имели разное предназначение
Спустя год уникальная яхта нашла покупателя .,Яхта нашла покупателя,Яхта нашла покупателя
